graph,triples
https://purl.humanatlas.io/collection/hra,2220241
https://purl.humanatlas.io/vocab/cl,119869
https://purl.humanatlas.io/vocab/uberon,1180265
https://purl.wholepersonphysiome.org,1669
https://purl.wholepersonphysiome.org/collection/wpp,375497
https://purl.wholepersonphysiome.org/wpp/cardiovascular-system,25626
https://purl.wholepersonphysiome.org/wpp/dental-and-craniofacial-system,32062
https://purl.wholepersonphysiome.org/wpp/digestive-system,26247
https://purl.wholepersonphysiome.org/wpp/endocrine-system,29299
https://purl.wholepersonphysiome.org/wpp/fascia-system,14879
https://purl.wholepersonphysiome.org/wpp/female-reproductive-system,23491
https://purl.wholepersonphysiome.org/wpp/immune-and-lymphatic-system,104167
https://purl.wholepersonphysiome.org/wpp/integumentary-system,48396
https://purl.wholepersonphysiome.org/wpp/male-reproductive-system,17618
https://purl.wholepersonphysiome.org/wpp/muscular-system,8812
https://purl.wholepersonphysiome.org/wpp/nervous-system,55739
https://purl.wholepersonphysiome.org/wpp/pulmonary-system,26757
https://purl.wholepersonphysiome.org/wpp/skeletal-system,7859
https://purl.wholepersonphysiome.org/wpp/urinary-system,21763
